,close_high,close_left,close_left_and_high,close_right,close_right_and_high,clubName,high_centre,high_left,high_right,low_centre,low_left,low_right,player,player_id,saves
93,0,1,0,0,0,Columbus Crew SC,0,1,2,0,0,1,Dejan Rusmir,94383,0
94,1,1,0,1,0,Sporting Kansas City,2,2,2,2,0,3,Josh Gardner,94387,0
95,0,3,0,1,0,Seattle Sounders FC,0,0,2,1,0,1,Magnus Wolff Eikrem,78008,0
96,0,4,0,2,0,Vancouver Whitecaps FC,1,3,2,7,4,4,Tommy Heinemann,94396,0
97,0,0,0,0,0,New York City FC,0,0,0,0,0,0,Sean Johnson,78013,0
98,0,0,0,0,0,Toronto FC,0,0,0,0,0,0,Gale Agbossoumonde,78014,0
99,4,8,1,7,1,Orlando City SC,2,7,9,17,8,10,Dillon Powers,78015,0
100,0,3,1,3,0,LA Galaxy,2,2,8,5,8,8,Sheanon Williams,78016,0
101,1,1,0,2,0,New York City FC,0,0,1,1,1,0,Alejandro Antonio Taylor Jr,78017,0
102,1,6,5,13,1,New York Red Bulls,3,7,15,20,17,26,Dilly Duka,78018,0
103,1,1,0,1,0,Vancouver Whitecaps FC,1,1,1,2,4,1,Aaron Maund,78019,0
104,0,0,0,0,0,LA Galaxy,0,0,0,0,0,0,Brian Perk,78021,0
105,0,0,0,0,0,Houston Dynamo,0,1,0,2,2,0,Brian Ownby,78022,0
106,2,8,0,7,1,Sporting Kansas City,4,4,2,9,5,7,Ike Opara,78023,0
107,0,4,0,1,0,Chicago Fire,0,0,2,3,0,2,Michael Stephens,78027,0
108,0,0,0,1,0,Chicago Fire,0,0,0,0,0,0,,110798,0
109,0,1,1,1,0,New England Revolution,2,0,1,3,1,1,Claude Dielna,45269,0
110,1,7,2,2,2,New York City FC,3,9,4,10,11,8,Jack Harrison,221399,0
111,0,0,0,0,0,San Jose Earthquakes,0,0,0,0,0,0,Andrew Tarbell,221400,0
112,0,0,0,0,0,Houston Dynamo,0,0,0,0,0,0,Chris Seitz,41679,0
113,0,1,0,3,0,LA Galaxy,3,1,1,3,2,1,Dave Romney,213213,0
114,0,1,0,0,0,Montreal Impact,0,1,0,0,0,0,Alessandro Nesta,4133,0
115,0,1,0,0,0,Seattle Sounders FC,0,0,0,2,1,0,Christian Tiffert,8416,0
116,0,0,0,0,0,LA Galaxy,0,0,0,0,0,0,Clément Diop,102626,0
117,0,1,0,1,0,Colorado Rapids,0,3,2,1,0,0,Édgar Castillo,53477,0
118,0,0,0,0,0,San Jose Earthquakes,0,0,0,2,0,0,Anthony Ampaipitakwong,94930,0
119,0,0,0,0,0,Minnesota United FC,0,0,0,0,0,0,Carter Manley,442461,0
120,0,0,0,0,0,Chivas USA,0,0,0,0,0,0,Tony Lochhead,33015,0
121,0,0,0,0,0,LA Galaxy,0,0,0,0,0,1,David Bingham,94932,0
122,0,0,0,0,0,New York Red Bulls,0,0,0,0,0,0,Luis Robles,41210,0
123,0,0,0,0,0,New York City FC,0,0,0,0,0,0,James Sands,215471,0
124,0,0,0,0,0,LA Galaxy,0,0,0,0,0,0,Dan Keat,94933,0
125,0,1,0,0,0,Montreal Impact,0,0,0,1,1,0,Deian Boldor,155907,0
126,0,8,1,2,0,Columbus Crew SC,1,6,5,9,3,7,Héctor Jiménez,94934,0
127,1,4,0,4,1,New England Revolution,2,3,0,7,3,2,Milton Caraglio,57608,0
128,0,0,0,0,0,LA Galaxy,0,0,0,0,0,0,Ryan Thomas,94937,0
129,0,0,0,0,0,Portland Timbers,0,0,0,0,0,0,Gbenga Arokoyo,113367,0
130,4,1,1,5,1,Columbus Crew SC,3,2,7,2,10,4,Josh Williams,94479,0
131,0,0,0,0,0,Orlando City SC,0,0,0,0,0,0,Pierre Da Silva,176403,0
132,0,2,0,0,0,Vancouver Whitecaps FC,0,0,1,0,0,0,Efraín Juárez,53526,0
133,0,0,0,0,0,Minnesota United FC,0,0,0,0,0,0,John Alvbage,37143,0
134,0,0,0,0,0,FC Dallas,0,0,0,0,0,0,Alejandro Zendejas,176409,0
135,0,0,0,0,0,Real Salt Lake,0,0,0,0,0,0,Ricky Lopez-Espin,442456,0
136,1,3,0,5,1,LA Galaxy,4,4,2,5,6,7,Stefan Ishizaki,37148,0
137,0,1,0,0,0,Vancouver Whitecaps FC,0,0,1,0,3,2,Corey Hertzog,94938,0
138,0,0,0,0,0,Vancouver Whitecaps FC,0,1,0,0,1,2,Jordon Mutch,49438,0
139,0,2,0,1,2,FC Dallas,2,4,4,6,1,2,Carlos Gruezo,147744,0
140,1,1,0,0,0,Chivas USA,0,0,1,4,3,5,Félix Borja,33057,0
141,1,3,1,1,0,Montreal Impact,1,2,3,9,8,6,Anthony Jackson-Hamel,184610,0
142,0,2,0,2,0,Philadelphia Union,1,3,3,6,2,5,Fabian Herbers,221475,0
143,0,0,0,0,0,Chivas USA,0,1,0,1,2,0,Joaquin Oscar Velázquez,53545,0
144,0,0,0,1,0,LA Galaxy,0,4,1,0,1,0,Andrew Boyens,33067,0
145,1,2,0,2,0,New York Red Bulls,1,4,2,4,4,4,Sean Davis,131372,0
146,2,0,0,1,0,New York City FC,2,0,0,1,0,4,Jonathan Lewis,213295,0
147,0,0,0,0,0,Chivas USA,0,0,0,0,0,1,Walter Vílchez,33076,0
148,0,0,0,0,0,Colorado Rapids,0,1,0,0,1,0,John Neeskens,184647,0
149,0,1,0,0,0,Columbus Crew SC,2,1,2,1,3,3,Adam Bedell,180552,0
150,5,9,3,8,4,Houston Dynamo,6,15,19,29,20,13,Erick Torres,101772,0
151,2,1,0,4,0,Philadelphia Union,3,3,1,6,7,6,Alejandro Bedoya,61770,0
152,1,7,1,5,0,Columbus Crew SC,7,7,4,8,4,6,Harrison Afful,49483,0
153,2,0,0,0,0,New York Red Bulls,1,0,3,2,2,1,Markus Holgersson,61774,0
